,Unnamed: 0,Name,version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0,0,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,16,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
1,1,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,17,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
2,2,prop-5,347,3,1,0,13,33,3,0,13,3,1.285714286,149,0.14285714300000002,0,0.0,0.666666667,0,0,46.33333333,4,1.6667,0
3,3,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,18,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
4,4,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,17,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
5,5,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,20,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
6,6,prop-5,347,3,1,0,8,20,3,0,8,3,1.125,135,0.0,0,0.0,0.666666667,0,0,42.66666667,4,1.6667,0
7,7,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,21,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
8,8,prop-5,347,2,1,0,9,20,1,0,9,2,1.0,86,0.0,0,0.0,0.625,0,0,41.5,4,2.0,0
9,9,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,17,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
10,10,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,21,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
11,11,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,26,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
12,12,prop-5,347,1,1,0,2,5,0,2,0,0,2.0,22,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
13,13,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,17,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
14,14,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,23,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
15,15,prop-5,347,1,1,0,2,5,0,1,1,0,2.0,21,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
16,16,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,51,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
17,17,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,26,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
18,18,prop-5,347,3,1,0,10,20,3,0,10,3,1.125,102,0.0,0,0.0,0.666666667,0,0,31.66666667,4,1.6667,0
19,19,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,16,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
20,20,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,22,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
21,21,prop-5,347,1,1,0,0,2,0,0,0,1,2.0,47,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
22,22,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,51,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
23,23,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,26,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
24,24,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,21,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
25,25,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,19,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
26,26,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,20,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
27,27,prop-5,347,3,1,0,7,15,1,0,7,3,1.0,96,0.0,0,0.0,0.666666667,0,0,30.0,3,1.6667,0
28,28,prop-5,347,2,1,0,10,23,1,0,10,2,1.333333333,112,0.0,0,0.0,0.625,0,0,53.5,8,4.0,0
29,29,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,19,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
30,30,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,24,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
31,31,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,24,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
32,32,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,17,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
33,33,prop-5,347,1,1,0,1,5,0,0,1,0,2.0,22,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
34,34,prop-5,347,1,1,0,0,5,0,0,0,0,2.0,20,0.0,0,0.0,0.0,0,0,12.0,0,0.0,0
