,Unnamed: 0,Name,version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0,0,prop-4,285,2,3,0,16,16,1,0,16,2,2.0,127,0.0,0,0.9,0.625,1,1,62.5,1,0.5,0
1,1,prop-4,285,2,4,0,23,19,1,0,23,2,1.0,72,0.0,0,0.933333333,0.6,1,1,34.5,1,0.5,0
2,2,prop-4,285,4,6,0,8,13,4,0,8,1,1.0,42,0.0,0,0.913043478,0.5555555560000001,2,2,8.75,1,0.5,0
3,3,prop-4,285,4,5,2,23,53,4,2,21,2,0.833333333,289,0.0,0,0.960784314,0.5555555560000001,1,2,70.75,1,0.5,0
4,4,prop-4,285,2,2,0,11,10,1,0,11,2,2.0,39,0.0,0,0.8,0.666666667,1,1,18.5,1,0.5,0
5,5,prop-4,285,4,3,0,23,45,4,0,23,2,0.909090909,483,0.363636364,0,0.904761905,0.5555555560000001,0,0,117.0,10,3.25,0
6,6,prop-4,285,2,3,0,24,26,1,0,24,2,1.0,97,0.0,0,0.857142857,0.625,1,1,47.0,1,0.5,0
7,7,prop-4,285,4,4,0,28,37,6,0,28,2,1.0,165,0.0,0,0.8235294120000001,0.34375,1,1,39.75,1,0.75,1
8,8,prop-4,285,2,4,0,11,8,1,0,11,2,1.0,30,0.0,0,0.933333333,0.6,1,1,13.5,1,0.5,0
9,9,prop-4,285,2,7,0,5,5,1,0,5,1,2.0,13,0.0,0,0.965517241,0.75,1,1,5.0,1,0.5,0
10,10,prop-4,285,2,3,0,20,16,1,0,20,2,1.0,56,0.0,0,0.857142857,0.625,1,1,26.5,4,2.0,0
11,11,prop-4,285,2,3,0,13,14,1,0,13,2,2.0,46,0.0,0,0.857142857,0.625,1,1,22.0,1,0.5,0
12,12,prop-4,285,2,4,0,28,28,1,0,28,2,1.0,184,0.0,0,0.933333333,0.6,1,1,90.5,1,0.5,0
13,13,prop-4,285,2,3,0,13,18,1,0,13,2,2.0,68,0.0,0,0.857142857,0.625,1,1,33.0,1,0.5,1
14,14,prop-4,285,5,6,0,8,14,8,0,8,1,1.0,45,0.0,0,0.875,0.5,3,3,7.4,1,0.6,0
15,15,prop-4,285,5,6,0,8,14,8,0,8,1,1.0,45,0.0,0,0.875,0.5,3,3,7.4,1,0.6,0
16,16,prop-4,285,5,6,0,14,17,8,0,14,1,1.0,52,0.0,0,0.88,0.5,3,3,8.8,1,0.6,0
17,17,prop-4,285,5,5,0,8,13,10,0,8,1,2.0,49,0.0,0,0.8857142859999999,0.7,3,4,8.8,3,1.2,0
18,18,prop-4,285,3,3,0,13,16,3,0,13,2,1.5,97,1.0,0,0.75,0.466666667,1,1,31.0,3,1.3333,0
19,19,prop-4,285,2,3,0,15,15,1,0,15,2,2.0,62,0.0,0,0.857142857,0.625,1,1,30.0,1,0.5,0
20,20,prop-4,285,4,5,0,28,40,4,1,27,3,1.0,141,0.0,0,0.960784314,0.5555555560000001,4,8,33.5,1,0.5,0
21,21,prop-4,285,5,6,0,8,14,8,0,8,1,1.0,50,0.0,0,0.875,0.5,3,3,8.4,1,0.6,0
22,22,prop-4,285,2,7,0,10,11,1,0,10,1,2.0,47,0.0,0,0.965517241,0.75,1,1,22.0,7,3.5,0
23,23,prop-4,285,4,6,0,8,13,4,0,8,1,1.0,42,0.0,0,0.913043478,0.5555555560000001,2,2,8.75,1,0.5,0
24,24,prop-4,285,4,5,0,16,19,4,4,12,3,1.0,75,0.0,0,0.960784314,0.5555555560000001,4,8,17.0,1,0.5,0
25,25,prop-4,285,1,6,0,1,2,0,0,1,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0
26,26,prop-4,285,5,5,0,18,56,4,2,16,4,0.916666667,245,0.0,0,0.942307692,0.666666667,4,8,47.4,1,0.6,1
27,27,prop-4,285,4,5,0,14,22,4,1,13,3,1.0,91,0.0,0,0.960784314,0.5555555560000001,4,9,21.0,1,0.5,0
28,28,prop-4,285,4,4,0,4,7,6,0,4,1,2.0,16,0.0,0,0.903225806,0.4375,2,2,3.0,1,0.75,0
29,29,prop-4,285,5,6,0,12,18,4,0,12,1,0.916666667,79,0.0,0,0.875,0.666666667,2,3,14.2,1,0.6,0
30,30,prop-4,285,4,5,0,23,44,4,2,21,3,1.0,215,0.0,0,0.960784314,0.5555555560000001,4,9,52.0,1,0.5,0
31,31,prop-4,285,4,5,0,12,24,4,1,11,3,1.0,94,0.0,0,0.960784314,0.5555555560000001,4,8,21.75,1,0.5,0
32,32,prop-4,285,4,6,0,9,13,4,0,9,1,1.0,43,0.0,0,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
33,33,prop-4,285,2,3,0,9,12,1,0,9,2,2.0,41,0.0,0,0.857142857,0.625,1,1,19.5,1,0.5,0
