,SMOTE&Bagging,SMOTE,Bagging,Normal
0,0.607418182,0.620363636,0.610472727,0.620363636
1,0.557733684,0.493784365,0.564367679,0.493784365
2,0.563061921,0.501999025,0.56305217,0.501999025
3,0.760463892,0.737071101,0.759304162,0.737071101
4,0.779583416,0.750152893,0.780894722,0.750152893
5,0.751227622,0.751227622,0.751227622,0.751227622
6,0.412886123,0.502996773,0.412425081,0.502996773
7,0.662342735,0.625710227,0.667826705,0.625710227
8,0.842215892,0.841555667,0.841785687,0.841555667
9,0.795757418,0.812583145,0.793174851,0.812583145
10,0.797237977,0.803231715,0.784680373,0.803231715
11,0.822911418,0.752557709,0.831808133,0.752557709
12,0.64498645,0.638380759,0.644732385,0.638380759
13,0.560873521,0.54170458,0.632271762,0.54170458
14,0.686914187,0.686777687,0.683997634,0.686777687
15,0.696505927,0.668561422,0.683696121,0.668561422
16,0.741079219,0.740968236,0.737874091,0.740968236
17,0.693109586,0.693109586,0.693109586,0.693109586
18,0.703090097,0.703090097,0.703090097,0.703090097
19,0.587779397,0.587779397,0.587779397,0.587779397
20,0.634921083,0.634921083,0.634921083,0.634921083
21,0.67280855,0.651597334,0.67028729,0.651597334
AVE,0.680677650,0.670005639,0.683308153,0.670005639
