,SMOTE&Bagging,SMOTE,Bagging,Normal
0,0.5975558365,0.5642646439,0.5957648546,0.5642646439
1,0.6487809412,0.6153111766,0.6410774602,0.6153111766
2,0.6930723675,0.5785533342,0.6848952485,0.5785533342
3,0.749013057,0.7032248705,0.749317513,0.7032248705
4,0.7334547662,0.6937462052,0.7298239223,0.6937462052
5,0.7834222317,0.7765094943,0.7831128654,0.7765094943
6,0.6552177537,0.5658669362,0.6500168458,0.5658669362
7,0.6099178457,0.6051764452,0.6117082128,0.6051764452
8,0.7403378742,0.6817417562,0.7468917636,0.6817417562
9,0.7438451571,0.7438451571,0.7438451571,0.7438451571
,0.6954617831,0.652824002,0.6936453843,0.652824002
