,SMOTE&Bagging,SMOTE,Bagging,Normal
0,0.6252423093,0.5356089338,0.6416139907,0.5364306785
1,0.683287016,0.6381884579,0.61980427,0.6266875882
2,0.7242537313,0.581947145,0.6466582226,0.590593934
3,0.7206310881,0.6681523316,0.6562377202,0.6471456995
4,0.7058652095,0.6245901639,0.6757134183,0.6354098361
5,0.7613718797,0.7110838489,0.734115639,0.7211009174
6,0.699029152,0.6473002447,0.6486931234,0.6460660709
7,0.6202238311,0.601093123,0.5944985026,0.587953836
8,0.7894726006,0.7660147091,0.7510642922,0.7183234396
9,0.7438837314,0.7428575691,0.7345540723,0.7351249084
,0.7073260549,0.6516836527,0.6702953251,0.6444836908
