,SMOTE&Bagging,SMOTE,Bagging,Normal
0,0.5991150442,0.5642646439,0.5917825537,0.5642646439
1,0.640489514,0.6345470357,0.6413648165,0.6345470357
2,0.6752454471,0.5611255648,0.6765805149,0.5611255648
3,0.7558640415,0.7142673575,0.7564903627,0.7142673575
4,0.7576806315,0.735033394,0.7565270188,0.735033394
5,0.7398015788,0.7468529977,0.7398335822,0.7468529977
6,0.6676454942,0.5210128737,0.6572844629,0.5210128737
7,0.6054215243,0.6044611427,0.6055139273,0.6044611427
8,0.7832801473,0.6980178202,0.7679179677,0.6980178202
9,0.7429521934,0.7429521934,0.7429521934,0.7429521934
,0.6967495616,0.6522535024,0.69362474,0.6522535024
